Q,omega,I,dI,Tr,Ki,Kf,Im,I-Im,S,dS
0.7,0.0254,0.22788000757429533,0.003918772595906935,0.85,5.801056677843229,5.8,0.008887192763241403,0.21895130586392741,0.30079733153090327,0.0053826654355164415
0.7,0.532,0.2039100623197815,0.003689980691937869,0.85,5.8220919351038205,5.8,0.00815826488079432,0.1949780604533818,0.2689915897130407,0.005071378018733772
0.7,1.0047,0.1466504578208255,0.0030984409623029804,0.85,5.841651270141428,5.8,0.0068953858479389426,0.1387094467630627,0.19148492867528286,0.004246822890953263
0.7,1.5223,0.07530879083247063,0.0022268525317676764,0.85,5.8629936309755255,5.8,0.005490057416732709,0.06900959486340347,0.0958710998748961,0.0030604004771739913
0.7,2.0054,0.033409305270422816,0.0014687333971282234,0.85,5.882843584434443,5.8,0.0045075922100233125,0.02843123538028752,0.03959025203110758,0.0020163977220464123
0.7,2.5345,0.01440312441145678,0.0009596403432751572,0.85,5.904507052931712,5.8,0.0038500460999970937,0.010298149649040226,0.014408254326681278,0.0013188791801651155
0.7,3.0283,0.010250421937966814,0.0008234216053058758,0.85,5.9246537373481,5.8,0.0035124497621623306,0.0065223049890611035,0.009157618006304496,0.001131797418491718
0.7,3.5273,0.008756225222695983,0.0007605477440575912,0.85,5.944943221535781,5.8,0.00332146407351263,0.00522127626884457,0.007343440910293755,0.0010435894889786305
0.7,4.0316,0.008784247688231476,0.0007500439981803692,0.85,5.965378093606374,5.8,0.0032035647908307155,0.005337157321376847,0.007550278588363256,0.001031643700529798
0.7,4.4987,0.0076488937142121845,0.0007371355591788127,0.85,5.984243325756985,5.8,0.003127981252313701,0.0042854177569618505,0.006080332321605896,0.0010136785646243786
0.7,5.0134,0.008421691524392741,0.0007950130053452818,0.85,6.004962392486695,5.8,0.003068330422691755,0.005065910501546661,0.007211122629842857,0.0010930431402603985
0.7,5.5336,0.007315050972960643,0.000676424962662511,0.85,6.02583047432664,5.8,0.00302637175881604,0.004014532532125333,0.005736882690392337,0.0009304042772200377
0.7,6.0155,0.00785238248144444,0.0007333244633163479,0.85,6.045097855444113,5.8,0.0029972012759648696,0.00453680718534759,0.006505960718165042,0.0010089785784482077
0.7,6.5021,0.008578781386534716,0.0007437763047646432,0.85,6.064491040335067,5.8,0.0029706019930300287,0.005234032445534868,0.007536772268308585,0.00102429477084187
